solver,pair,n_legs,volume_usd,binance_n,binance_vw_edge_bps,binance_mean_edge_bps,hl_n,hl_vw_edge_bps,hl_mean_edge_bps
solver-multichain-asset.near,SWEAT/SWEAT,2,1142.03,0,,,2,1.00,1.00
solver-priv-liq.near,USDT/ARB,6,1127.74,0,,,6,16.08,13.95
solver-priv-liq.near,USDT/XLM,1,1112.42,0,,,1,8.68,8.68
solver-priv-liq.near,TON/USDC,7,1104.29,0,,,0,,
sodax-solver.near,USDC/BNB,2,1087.94,0,,,2,1.60,2.53
sodax-solver.near,USDT/BNB,3,1057.02,0,,,3,7.56,7.19
brlabs-solver.near,USDT/USDT,11,1047.51,0,,,11,2.98,2.95
solver-priv-liq.near,USDC/LTC,13,983.36,0,,,13,2.26,2.92
0x2e30c32738a28833e3d85189c04895c25ee54cb5,USDT/SOL,11,891.23,0,,,11,6.42,6.72
solver-priv-liq.near,SPX/USDT,3,857.80,0,,,3,20.83,20.49
crux-solver.near,NEAR/USDT,22,854.80,0,,,22,5.57,5.90
solver-priv-liq.near,BTC/BCH,2,835.16,0,,,2,15.41,15.58
sodax-solver.near,BNB/SOL,9,786.32,0,,,9,3.83,2.90
sodax-solver.near,BNB/USDT,8,785.26,0,,,8,-2.23,-2.71
crux-solver.near,XRP/BTC,2,784.81,0,,,2,8.35,8.35
6247d9c671ca6a80cf2c75e26edb8cd75ebf00fcd3c56c39107d6ca20c9cfb29,SOL/DAI,1,748.48,0,,,1,30.56,30.56
sodax-solver.near,SOL/USDC,13,743.72,0,,,13,3.10,4.63
solver-multichain-asset-escrow.near,USDC/USDC,15,732.63,0,,,15,1.00,1.00
solver-multichain-asset.near,USDT0/USDT,3,719.25,0,,,3,1.00,1.00
0x2e30c32738a28833e3d85189c04895c25ee54cb5,USDT/ETH,4,718.09,0,,,4,6.52,5.96
crux-solver.near,SOL/NEAR,6,712.73,0,,,6,6.35,3.88
solver-priv-liq.near,BTC/BNB,1,701.12,0,,,1,9.66,9.66
crux-solver.near,SOL/XRP,7,673.24,0,,,7,8.61,8.03
crux-solver.near,BNB/USDT,11,666.87,0,,,11,-2.94,-1.86
solver-ref.near,NEAR/ZEC,6,665.15,0,,,6,-4.52,-4.40
solver-multichain-asset-2.near,USDT0/USDT,1,623.67,0,,,1,1.00,1.00
crux-solver.near,BTC/TRX,10,623.13,0,,,10,12.50,13.14
sodax-solver.near,BTC/USDC,6,595.11,0,,,6,9.54,10.35
sodax-solver.near,SOL/BTC,10,592.02,0,,,10,-0.59,1.69
4fdbc608fd712338c7680c224f249360c855987cc25ec4501a9a47ef4c789264,NEAR/USDT,11,561.38,0,,,11,10.09,9.72
solver-priv-liq.near,USDT/TON,5,559.08,0,,,0,,
solver-priv-liq.near,TRX/USDT,3,557.99,0,,,3,15.97,16.73
sodax-solver.near,BNB/ETH,9,554.43,0,,,9,-0.68,1.26
crux-solver.near,NEAR/ZEC,4,531.06,0,,,4,19.03,19.01
solver-priv-liq.near,OKB/USDT,5,514.56,0,,,0,,
sodax-solver.near,USDC/SUI,1,493.00,0,,,1,-3.28,-3.28
solver-priv-liq.near,USDT/DOGE,8,491.73,0,,,8,13.50,12.76
solver-priv-liq.near,NEAR/USDC,9,485.82,0,,,9,15.53,16.28
solver-priv-liq.near,SUI/USDT,1,470.50,0,,,1,3.69,3.69
sodax-solver.near,ETH/SOL,9,466.51,0,,,9,4.83,4.31
solver-multichain-asset.near,BTC/BTC,4,440.41,0,,,4,1.00,1.02
cerberus-solver.near,USDT/USDC,4,438.51,0,,,4,6.25,6.23
2f09a4dc4b29cfdfe5d7a14afb04f0aa6c68e0b54f3bb606b168919b68085059,USDC/USDT,4,438.24,0,,,4,-6.24,-6.15
crux-solver.near,SOL/BNB,5,432.84,0,,,5,4.66,4.35
crux-solver.near,TRX/USDC,9,432.28,0,,,9,13.49,13.17
6247d9c671ca6a80cf2c75e26edb8cd75ebf00fcd3c56c39107d6ca20c9cfb29,BTC/TRX,1,423.12,0,,,1,9.15,9.15
solver-priv-liq.near,MON/USDT,4,420.10,0,,,4,8.39,9.72
6247d9c671ca6a80cf2c75e26edb8cd75ebf00fcd3c56c39107d6ca20c9cfb29,SOL/USDC,1,416.85,0,,,1,45.31,45.31
sodax-solver.near,BNB/POL,1,399.34,0,,,1,-0.19,-0.19
4fdbc608fd712338c7680c224f249360c855987cc25ec4501a9a47ef4c789264,USDT/NEAR,3,395.28,0,,,3,-0.40,0.24
kipseli.near,BTC/USDT,1,387.72,0,,,1,3.20,3.20
crux-solver.near,TRX/ETH,5,336.72,0,,,5,14.85,13.04
sodax-solver.near,USDT/ETH,5,333.22,0,,,5,5.11,5.97
sodax-solver.near,SOL/BNB,5,330.60,0,,,5,5.42,7.76
solver-priv-liq.near,USDT/BNB,2,314.73,0,,,2,14.06,13.43
crux-solver.near,BNB/TRX,4,310.98,0,,,4,10.19,8.64
solver-priv-liq.near,OP/USDT,1,306.19,0,,,1,-0.77,-0.77
sodax-solver.near,USDC/USDT0,1,300.00,0,,,1,-5.19,-5.19
